sample_name,sector,sector_colour,site,SiteCharacteristic,ST,Number,Location,,,sample,SiteCharacteristic
E105,Environment,#339900,Pasar Sawah Barat,03_Market,10,8,Pasar Sawah Barat,,,,
E106,Environment,#339900,Pasar Sawah Barat,03_Market,10,8,Pasar Sawah Barat,,,,
E114,Environment,#339900,Pasar Deprok,03_Market,155,14,Pasar Deprok,,,,
E121,Environment,#339900,Pasar Pondok Bambu,03_Market,-,7,Pasar Pondok Bambu,,,,
E122,Environment,#339900,Pasar Pondok Bambu,03_Market,752,7,Pasar Pondok Bambu,,,,
E123,Environment,#339900,Pasar Sawah Barat,03_Market,1431,8,Pasar Sawah Barat,,,,
E132,Environment,#339900,Pasar Deprok,03_Market,191,14,Pasar Deprok,,,,
E133,Environment,#339900,Pasar Ciplak,03_Market,10,15,Pasar Ciplak,,,,
E142,Environment,#339900,Pasar Pondok Bambu,03_Market,2313,7,Pasar Pondok Bambu,,,,
E149,Environment,#339900,Pasar Deprok,03_Market,2541,14,Pasar Deprok,,,,
E158,Environment,#339900,Pasar Sawah Barat,03_Market,43,8,Pasar Sawah Barat,,,,
E165,Environment,#339900,Pasar Ciplak,03_Market,43,15,Pasar Ciplak,,,,
E174,Environment,#339900,Pasar Pondok Bambu,03_Market,58,7,Pasar Pondok Bambu,,,,
E175,Environment,#339900,Pasar Sawah Barat,03_Market,1673,8,Pasar Sawah Barat,,,,
E181,Environment,#339900,Pasar Deprok,03_Market,-,14,Pasar Deprok,,,,
E182,Environment,#339900,Pasar Ciplak,03_Market,2171,15,Pasar Ciplak,,,,
E183,Environment,#339900,Pasar Ciplak,03_Market,10,15,Pasar Ciplak,,,,
E187,Environment,#339900,Pasar Ciplak,03_Market,155,15,Pasar Ciplak,,,,
E65,Environment,#339900,Pasar Sawah Barat,03_Market,101,8,Pasar Sawah Barat,,,,
E77,Environment,#339900,Pasar Ciplak,03_Market,752,15,Pasar Ciplak,,,,
E82,Environment,#339900,Pasar Pondok Bambu,03_Market,744,7,Pasar Pondok Bambu,,,,
E83,Environment,#339900,Pasar Pondok Bambu,03_Market,155,7,Pasar Pondok Bambu,,,,
E95,Environment,#339900,Pasar Deprok,03_Market,752,14,Pasar Deprok,,,,
E96,Environment,#339900,Pasar Ciplak,03_Market,10,15,Pasar Ciplak,,,,
A10,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,57,13,RPH Pulogadung,,,,
A23,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,361,13,RPH Pulogadung,,,,
A28,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,2036,13,RPH Pulogadung,,,,
A34,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,2036,13,RPH Pulogadung,,,,
A35,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,1011,13,RPH Pulogadung,,,,
A36,Animal,#9900ff,RPHU Rawa Kepiting,04_Slaughtherhouse,189,12,RPHU Rawa Kepiting,,,,
A37,Animal,#9900ff,RPHU Rawa Kepiting,04_Slaughtherhouse,2973,12,RPHU Rawa Kepiting,,,,
A46,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,752,13,RPH Pulogadung,,,,
A47,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,533,13,RPH Pulogadung,,,,
A48,Animal,#9900ff,RPHU Rawa Kepiting,04_Slaughtherhouse,3998,12,RPHU Rawa Kepiting,,,,
A5,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,752,13,RPH Pulogadung,,,,
A53,Animal,#9900ff,RPHU Rawa Kepiting,04_Slaughtherhouse,189,12,RPHU Rawa Kepiting,,,,
