"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"105","D5_S23","Human","#336699","RSP","01_Hospital","38",3,"RSP",NA,NA,-6.12492039905858,106.917298311338
"106","D6_S24","Human","#336699","PKM Jatinegara","02_Community","58",1,"PKM Jatinegara",NA,NA,-6.21381078545159,106.862431168809
"107","E100","Environment","#339900","Kali Molek","05_Upstream","10",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"108","E101","Environment","#339900","Kali Sunter","06_Midstream","15460",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"109","E102","Environment","#339900","Kali Sunter","06_Midstream","69",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"110","E103","Environment","#339900","Kali Sunter","06_Midstream","359",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"111","E104","Environment","#339900","Kali Sunter","06_Midstream","4380",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"112","E105","Environment","#339900","Pasar Sawah Barat","03_Market","10",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"113","E106","Environment","#339900","Pasar Sawah Barat","03_Market","10",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"114","E107","Environment","#339900","Kali Sindang","07_Downstream","3052",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"115","E108","Environment","#339900","Cilincing","07_Downstream","398",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"116","E109","Environment","#339900","Cilincing","07_Downstream","410",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"117","E110","Environment","#339900","BKT","07_Downstream","58",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"118","E111","Environment","#339900","BKT","07_Downstream","2165",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"119","E112","Environment","#339900","BKT","07_Downstream","6707",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"120","E113","Environment","#339900","BKT","07_Downstream","38",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"121","E114","Environment","#339900","Pasar Deprok","03_Market","155",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"122","E115","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","410",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"123","E116","Environment","#339900","Kali Molek","05_Upstream","212",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"124","E117","Environment","#339900","Kranggan","05_Upstream","38",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"125","E118","Environment","#339900","Kranggan","05_Upstream","167",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"126","E119","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"127","E120","Environment","#339900","Kranggan","05_Upstream","10",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"128","E121","Environment","#339900","Pasar Pondok Bambu","03_Market","-",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"129","E122","Environment","#339900","Pasar Pondok Bambu","03_Market","752",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"130","E123","Environment","#339900","Pasar Sawah Barat","03_Market","1431",8,"Pasar Sawah Barat","S 06'14'39.1""","E 106'54'23.6",-6.24419444444444,106.93
"131","E124","Environment","#339900","Kali Sindang","07_Downstream","410",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"132","E125","Environment","#339900","Cilincing","07_Downstream","1722",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"133","E126","Environment","#339900","Cilincing","07_Downstream","1431",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
